code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
000099,中信海直,空运,深圳,122.02,6.06,6.06,480764.5,140200.02,308986.75,103327.21,1.7,0.023,4.71,2.39,20000731,101519.75,1.68,5.39,-23.17,15.27,5.3,63116
002151,北斗星通,通信设备,北京,224.75,2.43,5.13,541841.63,190777.23,47835.26,354189.34,6.91,0.11,8.49,3.58,20070813,22528.0,0.44,74.75,332.74,32.35,4.75,53380
601600,中国铝业,铝,北京,177.74,109.6,149.04,19007694.0,6642623.0,7435207.0,1865839.63,1.25,0.02,2.56,1.88,20070430,-448859.0,-0.3,16.68,170.82,7.53,0.28,464511
002515,金字火腿,食品,浙江,63.86,3.62,6.11,205472.98,75528.21,38484.9,54244.55,0.89,0.055999999999999994,2.27,6.34,20101203,20200.71,0.33,79.96,182.2,49.67,29.68,40612
000019,深深宝Ａ,软饮料,深圳,0.0,3.78,4.52,117768.32,61054.28,32681.02,36717.2,0.81,-0.022000000000000002,2.26,5.61,19921012,14832.15,0.33,-17.65,-60.41,23.05,-16.6,67421
603901,永创智能,专用机械,浙江,57.15,1.54,4.0,172162.72,118006.57,27051.09,16188.27,0.4,0.222,2.24,5.66,20150529,29808.55,0.75,11.65,16.37,32.86,8.82,27783
000759,中百集团,超市连锁,湖北,832.06,6.81,6.81,908461.13,366424.66,402201.09,107097.9,1.57,0.009000000000000001,4.37,1.81,19970519,87825.86,1.29,-6.31,15.25,21.03,0.04,26158
002659,中泰桥梁,建筑施工,江苏,0.0,3.11,4.99,379741.66,163818.13,34853.98,172352.41,3.46,-0.25,4.48,3.16,20120309,-1168.5,-0.02,-57.73,-3453.75,-4.21,-29.77,16482
002729,好利来,元器件,福建,323.92,0.18,0.67,43436.06,17722.9,21882.01,17834.05,2.67,0.057999999999999996,6.11,12.33,20140912,14115.85,2.12,14.04,180.73,41.11,10.85,3512
002326,永太科技,化工原料,浙江,17.57,5.32,8.19,553308.44,221065.95,139228.09,96744.81,1.18,0.201,3.24,4.36,20091222,78100.81,0.95,26.43,330.69,28.11,31.19,75717
000700,模塑科技,汽车配件,江苏,30.09,6.97,7.17,593436.75,186470.47,142646.44,19291.11,0.27,0.26,4.33,1.8,19970228,122644.7,1.71,1.74,-36.98,22.3,5.83,40725
300003,乐普医疗,医疗保健,北京,48.97,14.14,17.82,950044.81,414309.28,110558.72,114439.82,0.64,0.39,3.17,5.88,20091030,223435.3,1.25,25.25,30.4,60.95,19.59,28384
